pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_sec
9,12,9,11,44098
10,13,10,14,84462
8,10,8,11,63861
10,13,10,13,38175
13,13,11,9,78692
9,11,9,11,59309
10,13,10,13,31015
9,12,10,12,31898
9,13,10,13,74632
10,13,11,13,44775
9,11,9,11,84710
13,13,10,12,51448
9,12,10,13,51180
10,12,10,12,53607
9,13,10,13,29879
10,13,10,13,67969
8,10,9,11,28956
9,12,9,13,83163
10,13,10,13,71159
10,13,10,15,44214
9,12,9,12,35275
16,7,16,10,7279
10,13,9,11,61885
9,12,9,10,5059
10,12,9,12,55303
10,13,9,12,3707
9,12,9,11,78405
10,13,10,13,51180
10,13,11,14,65997
10,13,10,12,60372
9,13,10,12,29864
10,13,9,11,34226
9,11,16,7,49948
9,11,9,11,82281
9,13,10,13,81192
10,13,10,13,32440
10,12,9,12,38371
9,12,9,11,2077
9,11,10,13,77343
9,11,9,12,54381
10,12,11,13,28633
9,11,9,11,61802
9,11,10,13,41913
8,10,10,12,77406
10,13,10,12,83074
10,13,10,13,30311
10,12,9,12,71539
9,12,12,16,39012
9,12,10,13,72836
10,13,10,13,45349
9,12,9,11,82165
10,13,10,12,34195
9,11,8,10,50089
9,11,9,9,6450
11,13,10,13,78768
9,12,9,12,26271
9,11,9,12,3084
10,13,11,13,51202
9,11,9,11,82275
10,12,11,13,56217
10,12,9,11,80466
9,12,9,12,67074
10,14,10,13,68973
9,12,10,12,12540
9,12,13,13,48551
10,12,10,12,41403
9,12,11,14,70158
9,11,10,13,59675
10,14,9,13,56535
11,13,11,13,81831
10,13,10,13,53728
10,12,10,14,49684
10,13,9,8,2113
10,13,9,11,36751
10,13,10,13,52895
10,13,10,13,70000
9,13,10,12,71620
11,13,15,9,73890
10,12,9,12,27328
10,13,16,7,50581
9,12,10,13,74507
10,13,10,12,62198
9,13,13,13,35467
11,13,10,14,38948
9,12,9,10,61553
10,12,10,12,74490
10,13,10,13,32445
9,11,9,11,31639
10,13,9,11,78984
9,11,9,11,5351
9,12,9,13,53186
16,7,8,10,57883
9,11,9,11,35718
10,13,10,13,37200
10,14,10,13,55357
10,13,9,12,45926
9,12,9,11,48024
16,7,13,9,71609
9,12,9,11,58355
9,12,9,13,73372
10,13,9,12,73978
9,12,9,13,81266
10,13,10,13,78162
10,14,9,12,64886
10,12,10,11,54350
10,12,10,13,47378
9,12,16,7,57043
9,13,11,15,70941
9,12,9,9,72660
10,12,10,13,62297
10,13,10,14,85104
10,14,11,14,68408
16,7,11,15,31503
10,13,11,14,68794
9,12,9,13,27107
9,12,8,10,45554
16,7,9,12,62624
10,13,9,11,78622
10,13,11,13,48896
9,12,10,9,46172
9,12,9,10,14587
10,13,10,13,53602
10,13,11,13,76657
9,11,9,11,84025
13,13,9,12,40037
9,13,9,12,37464
10,12,9,11,80049
9,12,11,15,72922
9,13,8,11,58508
9,12,9,11,43301
9,12,9,11,68910
16,7,9,12,26885
9,12,9,12,79969
9,12,10,12,63934
9,13,9,13,51959
9,11,9,10,56942
10,13,10,14,54545
10,12,9,11,65111
10,13,9,12,59921
13,13,10,12,36694
